date,status,state_number,img
28.11.2020,TRUE,А001АА01,'А001АА01.png'
28.11.2020,TRUE,А001АА40,'А001АА40.png'
28.11.2020,TRUE,А077ЕН142,'А077ЕН142.jpg'
28.11.2020,TRUE,А149НЕ763,'А149НЕ763.jpg'
29.11.2020,TRUE,А317ВО116,'А317ВО116.jpg'
29.11.2020,TRUE,А744АА02,'А744АА02.jpg'
29.11.2020,TRUE,А888ОК55,'А888ОК55.jpg'
29.11.2020,TRUE,А999АА777,'А999АА777.jpg'
30.11.2020,TRUE,В333ВВ43,'В333ВВ43.png'
30.11.2020,TRUE,Е008ЕЕ77,'Е008ЕЕ77.png'
30.11.2020,TRUE,Е969УТ197,'Е969УТ197.png'
30.11.2020,TRUE,М640РВ72,'М640РВ72.png'
01.12.2020,TRUE,Н888РУ150,'Н888РУ150.jpg'
01.12.2020,TRUE,Н952НВ777,'Н952НВ777.jpeg'
28.11.2020,FALSE,,'не распознан.png'
28.11.2020,FALSE,,'не распознан_1.jpg'
29.11.2020,FALSE,,'не распознан_2.jpg'
29.11.2020,FALSE,,'не распознан_3.jpg'
30.11.2020,FALSE,,'не распознан_4.jpg'
30.11.2020,FALSE,,'не распознан_5.jpg'
01.12.2020,FALSE,,'не распознан_6.jpg'
01.12.2020,FALSE,,'не распознан_7.jpg'
02.12.2020,FALSE,,'не распознан_8.jpg'
02.12.2020,FALSE,,'не распознан_9.jpg'
01.12.2020,TRUE,О007ОО77,'О007ОО77.png'
01.12.2020,TRUE,О999ОО77,'О999ОО77.png'
02.12.2020,TRUE,С001АС777,'С001АС777.png'
02.12.2020,TRUE,Т777ТТ71,'Т777ТТ71.png'
02.12.2020,TRUE,Х007АМ97,'Х007АМ97.png'
02.12.2020,TRUE,Х082МК125,'Х082МК125.png'
